"Date","Creator","Recipient"
"None","
John Muir ","
A. Bradley Brown"
"None","
Charles Reid ","
John Muir"
"None","
Charles Reid ","
John Muir"
"None","
Charles Reid ","
John Muir"
"None","
William Reid ","
John Muir"
"None","
William Reid ","
John Muir"
"None","
William Reid ","
John Muir"
"None","
Alfred Bradley Brown ","
John Muir"
"None","
Alfred Bradley Brown ","
John Muir"
"None","
John Muir ","
Sarah Muir Galloway"
"None","
John E. Varnel ","
John Muir"
"None","
David G. Muir ","
John Muir"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
Joanna Muir ","
John Muir"
"None","
John Muir ","
Sarah Muir Galloway"
"None","
Margaret Muir ","
John Muir"
"None","
Joanna Muir ","
John Muir"
"None","
John Muir ","
Mary and Anna Annie L. Muir"
"None","
John Muir ","
Sarah Muir Galloway"
"None","
Sarah Muir Galloway ","
John Muir"
"None","
David M. Galloway ","
John Muir"
"None","
John H. Varnel ","
John Muir"
"None","
Sarah Muir Galloway ","
John Muir"
"None","
Mary Muir ","
John Muir"
"None","
Eveline Merrill ","
John Muir"
"None","
Daniel Muir ","
John Muir"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
Frances N. Pel","
John Muir"
"None","
Daniel Muir ","
John Muir"
"None","
Anne Annie L. Muir ","
John Muir"
"None","
N. Jerome","
N. Jerome"
"None","
Joanna Muir ","
John Muir"
"None","
William Reid ","
John Muir"
"None","
Sarah Muir Galloway ","
John Muir"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
Daniel Muir ","
John Muir"
"None","
John Muir ","
Sarah Muir Galloway"
"None","
Daniel Muir ","
John Muir"
"None","
John Muir ","
Mary"
"None","
Daniel Muir ","
John Muir"
"None","
John Muir ","
Muir Family"
"None","
Harvey Reid ","
John Muir"
"None","
Harvey Reid ","
John Muir"
"None","
Daniel Muir ","
John Muir and David Muir"
"None","
Daniel H. Muir ","
John Muir"
"None","
Margaret Muir Reid ","
John Muir and David Muir"
"None","
Daniel Muir ","
John Muir"
"None","
Mary Muir ","
David Muir"
"None","
Mary Muir ","
John Muir"
"None","
Ann Gilrye Muir ","
David Muir"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
Harvey Reid ","
John Muir"
"None","
John Muir ","
David Galloway and Sarah Muir Galloway"
"None","
John Muir ","
Fannie Pelton"
"None","
John Muir ","
Frances N. Pelton"
"None","
John Muir ","
Frances N. Pelton"
"None","
Anne Annie L. Muir ","
John Muir"
"None","
Daniel H. Muir ","
John Muir"
"None","
Margaret Muir Reid ","
John Muir and David G. Muir"
"None","
Sarah Muir Galloway ","
John Muir"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
John Muir ","
Sarah Muir Galloway and David Galloway"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
Joanna G. ? Muir ","
John Muir"
"None","
Anne Annie L. Muir ","
John Muir"
"None","
John Reid ","
John Muir"
"None","
John Muir ","
Frances N. Pelton"
"None","
Mrs. R. Squire ","
John Muir"
"None","
Margaret Muir Reid ","
John Muir"
"None","
Ann Gilrye Muir ","
John Muir"
"None","
Sarah Muir Galloway ","
John Muir"
"None","
Anne Annie L. Muir ","
John Muir"
"None","
C. H. Wildish ","
John Muir"
"None","
David? Muir ","
John Muir"
"None","
Frances N. Pel","
John Muir"
"None","
Eveline Merrill ","
John Muir"
"None","
John Muir ","
Frances N. Pelton"
"None","
J. D. Dodge ","
John Muir"
"None","
Margaret Muir Reid ","
John Muir"
"None","
Alfred Bradley Brown ","
John Muir"
"None","
J. D. Dodge ","
John Muir"
"None","
John Reid ","
John Muir"
"None","
W. H. Brown ","
John Muir"
"None","
Anne Annie L. Muir ","
John Muir"
"None","
Dave David G. Muir ","
John Muir"
"None","
Alfred Bradley Brown ","
John Muir"
"None","
David G. Muir ","
John Muir"
"None","
John Muir ","
Sarah and David Galloway"
"None","
John Muir ","
Mr. And Mrs. Pelton"
"None","
Sarah Muir Galloway ","
John Muir"
"None","
Harry A. Varnell ","
John Muir"
"None","
John Reid ","
John Muir"
"None","
Joanna Muir ","
John Muir"
"None","
Margaret Muir Reid ","
John Muir"
"None","
David M. Galloway ","
John Muir"
"None","
James A. Sweany ","
John Muir"
"None","
C. F. Oiebdy ","
John Muir"
"None","
E. W. Pel","
John Muir"
"None","
David G. Muir ","
John Muir"
"None","
Sarah M. Galloway ","
John Muir"
